"";"LotArea";"LotShape";"Utilities";"LandSlope";"HouseStyle";"OverallCond";"YearBuilt";"YearRemodAdd";"BsmtCond";"TotalBsmtSF";"Heating";"HeatingQC";"CentralAir";"KitchenQual";"Fireplaces";"FireplaceQu";"GarageCars";"GarageArea";"GarageCond";"PoolArea";"PoolQC";"MoSold";"YrSold";"SalePrice"
"1271";"23595 m2";"Reg";"AllPub";"Sev";"1Story";6;1979;1979;"TA";1332;"GasA";"TA";"Y";"Gd";1;"TA";2;586;"TA";0;NA;4;2010;260000
"1272";"9156 m2";"IR1";"AllPub";"Gtl";"1Story";7;1968;1968;"TA";1489;"GasA";"Gd";"Y";"Gd";1;"Gd";2;462;"TA";0;NA;8;2009;185750
"1273";"13526 m2";"IR1";"AllPub";"Gtl";"1Story";6;1965;1965;"TA";935;"GasA";"TA";"Y";"TA";0;NA;1;288;"TA";0;NA;11;2006;137000
"1274";"11512 m2";"IR1";"AllPub";"Gtl";"SLvl";7;1959;2006;"TA";1019;"GasA";"Gd";"Y";"Ex";1;"Gd";1;312;"TA";0;NA;5;2008;177000
"1275";"5362 m2";"Reg";"AllPub";"Gtl";"1.5Fin";6;1910;2003;"TA";661;"GasA";"Ex";"Y";"TA";1;"Gd";2;552;"TA";0;NA;11;2007;139000
"1276";"11345 m2";"Reg";"AllPub";"Gtl";"2Story";5;1948;1950;"TA";928;"GasA";"Gd";"Y";"TA";0;NA;2;400;"Fa";0;NA;7;2007;137000
"1277";"12936 m2";"IR1";"AllPub";"Gtl";"2Story";6;1972;1972;"Gd";723;"GasA";"TA";"Y";"TA";1;"TA";2;497;"TA";0;NA;12;2009;162000
"1278";"17871 m2";"IR1";"AllPub";"Gtl";"SLvl";5;1967;1976;"TA";1680;"GasA";"Fa";"Y";"TA";1;"Gd";2;480;"TA";0;NA;6;2009;197900
"1279";"9473 m2";"Reg";"AllPub";"Gtl";"2Story";5;2002;2002;"TA";1128;"GasA";"Ex";"Y";"Gd";1;"Gd";2;577;"TA";0;NA;3;2008;237000
"1280";"7500 m2";"Reg";"AllPub";"Gtl";"1.5Fin";4;1920;1950;"TA";698;"GasA";"TA";"Y";"TA";0;NA;2;528;"TA";0;NA;4;2010;68400
"1281";"9808 m2";"IR1";"AllPub";"Gtl";"1Story";5;2002;2002;"TA";1573;"GasA";"Ex";"Y";"Gd";0;NA;2;544;"TA";0;NA;3;2009;227000
"1282";"8049 m2";"IR1";"AllPub";"Gtl";"1Story";5;1990;1990;"TA";1309;"GasA";"TA";"Y";"TA";1;"TA";2;484;"Gd";0;NA;7;2006;180000
"1283";"8800 m2";"IR1";"AllPub";"Gtl";"1Story";7;1977;2008;"TA";1040;"GasA";"TA";"Y";"Gd";0;NA;2;484;"TA";0;NA;9;2009;150500
"1284";"9400 m2";"Reg";"AllPub";"Gtl";"2Story";5;1971;1971;"TA";912;"GasA";"TA";"Y";"TA";0;NA;0;0;NA;0;NA;4;2010;139000
"1285";"9638 m2";"Reg";"AllPub";"Gtl";"1.5Fin";7;1919;1990;"TA";804;"GasA";"Ex";"Y";"Gd";1;"Gd";1;336;"TA";0;NA;3;2010;169000
"1286";"6000 m2";"Reg";"AllPub";"Gtl";"1.5Fin";6;1939;1950;"TA";780;"GasA";"Ex";"Y";"TA";1;"Gd";1;280;"TA";0;NA;5;2009;132500
"1287";"9790 m2";"Reg";"AllPub";"Gtl";"1Story";5;1963;1963;"TA";1328;"GasA";"TA";"Y";"TA";2;"Gd";2;528;"TA";0;NA;6;2010;143000
"1288";"36500 m2";"IR1";"AllPub";"Mod";"1Story";5;1964;1964;"TA";1624;"GasA";"Fa";"Y";"TA";0;NA;2;390;"TA";0;NA;6;2006;190000
"1289";"5664 m2";"IR1";"AllPub";"Gtl";"1Story";5;2000;2000;"TA";1501;"GasA";"Ex";"Y";"Ex";1;"Ex";2;499;"TA";0;NA;10;2009;278000
"1290";"11065 m2";"IR1";"AllPub";"Gtl";"2Story";5;2006;2006;"TA";1085;"GasA";"Ex";"Y";"Ex";1;"Gd";3;753;"TA";0;NA;10;2006;281000
"1291";"14112 m2";"IR1";"AllPub";"Gtl";"SLvl";7;1964;1964;"TA";1152;"GasA";"TA";"Y";"TA";1;"Gd";2;484;"TA";0;NA;4;2010;180500
"1292";"1680 m2";"Reg";"AllPub";"Gtl";"2Story";7;1972;1972;"TA";630;"GasA";"TA";"Y";"TA";0;NA;1;264;"TA";0;NA;2;2009;119500
"1293";"6600 m2";"Reg";"AllPub";"Gtl";"2Story";4;1892;1965;"TA";994;"GasA";"TA";"N";"TA";0;NA;1;432;"TA";0;NA;12;2009;107500
"1294";"10140 m2";"Reg";"AllPub";"Gtl";"2Story";5;1976;1976;"TA";832;"GasA";"TA";"Y";"TA";1;"TA";2;528;"TA";0;NA;3;2006;162900
"1295";"8172 m2";"Reg";"AllPub";"Gtl";"1Story";7;1955;1990;"TA";864;"GasA";"TA";"Y";"TA";0;NA;2;572;"TA";0;NA;4;2006;115000
"1296";"8400 m2";"Reg";"AllPub";"Gtl";"1Story";5;1968;1968;"TA";1052;"GasA";"Gd";"Y";"TA";0;NA;1;288;"TA";0;NA;11;2006;138500
"1297";"8700 m2";"Reg";"AllPub";"Gtl";"1Story";6;1963;1963;"TA";1120;"GasA";"Gd";"Y";"TA";0;NA;2;525;"TA";0;NA;12;2008;155000
"1298";"3675 m2";"Reg";"AllPub";"Gtl";"SFoyer";5;2005;2006;"TA";547;"GasA";"Gd";"Y";"TA";0;NA;2;525;"TA";0;NA;6;2006;140000
"1299";"63887 m2";"IR3";"AllPub";"Gtl";"2Story";5;2008;2008;"TA";6110;"GasA";"Ex";"Y";"Ex";3;"Gd";2;1418;"TA";480;"Gd";1;2008;160000
"1300";"7500 m2";"Reg";"AllPub";"Gtl";"1Story";7;1959;1994;"TA";1246;"GasA";"Ex";"Y";"Gd";0;NA;1;305;"TA";0;NA;5;2010;154000
"1301";"10762 m2";"IR1";"AllPub";"Gtl";"2Story";5;1999;1999;"TA";978;"GasA";"Ex";"Y";"Gd";1;"TA";2;490;"TA";0;NA;5;2009;225000
"1302";"7500 m2";"IR1";"AllPub";"Gtl";"2Story";7;1942;1950;"TA";771;"GasA";"Fa";"Y";"Gd";2;"Gd";1;213;"TA";0;NA;11;2009;177500
"1303";"10120 m2";"Reg";"AllPub";"Gtl";"2Story";5;1994;1994;"TA";1165;"GasA";"Ex";"Y";"Gd";1;"TA";3;844;"TA";0;NA;12;2006;290000
"1304";"8688 m2";"Reg";"AllPub";"Gtl";"1Story";5;2005;2005;"TA";1616;"GasA";"Ex";"Y";"Gd";0;NA;3;834;"TA";0;NA;4;2006;232000
"1305";"3363 m2";"Reg";"AllPub";"Gtl";"2Story";5;2004;2004;"TA";976;"GasA";"Ex";"Y";"Gd";0;NA;2;380;"TA";0;NA;4;2006;130000
"1306";"13173 m2";"IR1";"AllPub";"Gtl";"1Story";5;2006;2007;"TA";1652;"GasA";"Ex";"Y";"Ex";2;"Ex";2;840;"TA";0;NA;11;2009;325000
"1307";"6955 m2";"IR1";"AllPub";"Gtl";"1Story";5;2005;2006;"TA";1368;"GasA";"Ex";"Y";"Gd";1;"Gd";2;474;"TA";0;NA;9;2006;202500
"1308";"8072 m2";"Reg";"AllPub";"Gtl";"1Story";5;1994;1995;"Gd";990;"GasA";"Ex";"Y";"TA";0;NA;2;480;"TA";0;NA;5;2009;138000
"1309";"12000 m2";"Reg";"AllPub";"Gtl";"1Story";7;1948;2005;"TA";924;"GasA";"Ex";"Y";"Gd";0;NA;2;528;"TA";0;NA;5;2008;147000
"1310";"7153 m2";"Reg";"AllPub";"Gtl";"1Story";5;1991;1991;"TA";1278;"GasA";"Gd";"Y";"Gd";0;NA;2;496;"TA";0;NA;6;2008;179200
"1311";"17500 m2";"Reg";"AllPub";"Gtl";"1Story";8;1959;2002;"TA";1902;"GasA";"TA";"Y";"Ex";2;"TA";2;567;"TA";0;NA;5;2010;335000
"1312";"8814 m2";"Reg";"AllPub";"Gtl";"1Story";5;2005;2007;"TA";1274;"GasA";"Ex";"Y";"Gd";0;NA;2;508;"TA";0;NA;1;2007;203000
"1313";"9572 m2";"IR1";"AllPub";"Gtl";"2Story";5;1990;1990;"TA";1453;"GasA";"Ex";"Y";"Gd";1;"Ex";2;750;"Gd";0;NA;6;2007;302000
"1314";"14774 m2";"IR1";"AllPub";"Gtl";"2Story";5;1999;1999;"TA";1393;"GasA";"Ex";"Y";"Gd";1;"TA";3;779;"TA";0;NA;5;2010;333168
"1315";"8190 m2";"Reg";"AllPub";"Gtl";"1Story";6;1954;1954;"TA";948;"GasA";"Ex";"Y";"TA";1;"TA";1;280;"TA";0;NA;10;2007;119000
"1316";"11075 m2";"Reg";"AllPub";"Gtl";"2Story";5;1969;1969;"TA";952;"GasA";"TA";"Y";"TA";2;"Gd";2;576;"TA";0;NA;6;2008;206900
"1317";"10226 m2";"IR1";"AllPub";"Gtl";"1Story";5;2008;2008;"TA";1622;"GasA";"Ex";"Y";"Ex";1;"Gd";3;860;"TA";0;NA;1;2009;295493
"1318";"4230 m2";"Reg";"AllPub";"Gtl";"1Story";5;2006;2007;"Gd";1352;"GasA";"Ex";"Y";"Gd";1;"Gd";2;466;"TA";0;NA;4;2007;208900
"1319";"14781 m2";"IR2";"AllPub";"Gtl";"1Story";5;2001;2002;"TA";1753;"GasA";"Ex";"Y";"Gd";1;"TA";3;748;"TA";0;NA;8;2006;275000
"1320";"10215 m2";"Reg";"AllPub";"Gtl";"1Story";5;1954;1954;"TA";864;"GasA";"Ex";"Y";"TA";0;NA;1;248;"TA";0;NA;2;2007;111000
"1321";"8400 m2";"Reg";"AllPub";"Gtl";"1Story";3;1957;1957;"TA";1478;"GasA";"Gd";"Y";"TA";2;"Gd";2;442;"TA";0;NA;6;2009;156500
"1322";"6627 m2";"IR1";"AllPub";"Gtl";"1Story";6;1949;1950;NA;0;"Floor";"TA";"N";"TA";0;NA;1;287;"Fa";0;NA;7;2008;72500
"1323";"10186 m2";"IR1";"AllPub";"Gtl";"2Story";5;1992;1992;"TA";750;"GasA";"Ex";"Y";"Gd";1;"TA";2;564;"TA";0;NA;6;2010;190000
"1324";"5330 m2";"Reg";"AllPub";"Gtl";"1Story";7;1940;1950;"TA";420;"GasA";"Gd";"Y";"Fa";0;NA;0;0;NA;0;NA;12;2009;82500
"1325";"9986 m2";"Reg";"AllPub";"Gtl";"1Story";5;2006;2007;"TA";1795;"GasA";"Ex";"Y";"Gd";1;"Gd";3;895;"TA";0;NA;2;2007;147000
"1326";"3636 m2";"Reg";"AllPub";"Gtl";"1Story";4;1922;1950;"Fa";796;"GasA";"Fa";"N";"TA";0;NA;0;0;NA;0;NA;1;2008;55000
"1327";"4270 m2";"Reg";"AllPub";"Mod";"1Story";6;1931;2006;"TA";544;"GasA";"Ex";"Y";"Gd";0;NA;0;0;NA;0;NA;5;2007;79000
"1328";"6600 m2";"Reg";"AllPub";"Gtl";"1Story";9;1982;2008;"TA";816;"GasA";"Ex";"Y";"Gd";1;"Ex";1;264;"TA";0;NA;10;2008;130500
"1329";"10440 m2";"Reg";"AllPub";"Gtl";"1.5Fin";7;1920;1950;"TA";1510;"GasW";"Ex";"Y";"TA";2;"TA";2;520;"TA";0;NA;6;2008;256000
"1330";"9084 m2";"IR1";"AllPub";"Gtl";"2Story";5;1998;1998;"TA";935;"GasA";"Gd";"Y";"TA";1;"TA";2;462;"TA";0;NA;6;2006;176500
"1331";"10000 m2";"Reg";"AllPub";"Gtl";"1Story";5;2006;2006;"Gd";1588;"GasA";"Ex";"Y";"Gd";1;"Gd";3;825;"TA";0;NA;12;2007;227000
"1332";"10780 m2";"IR1";"AllPub";"Gtl";"SLvl";5;1976;1976;"TA";911;"GasA";"Gd";"Y";"TA";0;NA;2;576;"TA";0;NA;7;2006;132500
"1333";"8877 m2";"Reg";"AllPub";"Mod";"1Story";6;1938;1958;"TA";816;"GasA";"Ex";"Y";"TA";1;"Gd";1;288;"Fa";0;NA;5;2009;100000
"1334";"7200 m2";"Reg";"AllPub";"Gtl";"1.5Fin";6;1938;1995;"TA";803;"GasA";"Ex";"Y";"Gd";0;NA;1;297;"TA";0;NA;7;2006;125500
"1335";"2368 m2";"Reg";"AllPub";"Gtl";"2Story";6;1970;1970;"TA";765;"GasA";"TA";"Y";"TA";0;NA;2;440;"TA";0;NA;5;2009;125000
"1336";"9650 m2";"Reg";"AllPub";"Gtl";"1Story";5;1977;1977;"TA";1350;"GasA";"TA";"Y";"TA";1;"TA";2;630;"TA";0;NA;4;2009;167900
"1337";"9246 m2";"IR1";"AllPub";"Gtl";"1Story";5;1973;1973;"TA";1656;"GasA";"TA";"Y";"TA";0;NA;2;506;"TA";0;NA;11;2008;135000
"1338";"4118 m2";"IR1";"AllPub";"Mod";"1Story";4;1941;1950;"TA";693;"Grav";"Fa";"N";"Fa";0;NA;0;0;NA;0;NA;3;2006;52500
"1339";"13450 m2";"IR1";"AllPub";"Gtl";"2Story";5;2002;2002;"TA";916;"GasA";"Ex";"Y";"Gd";0;NA;2;492;"TA";0;NA;6;2006;200000
"1340";"9560 m2";"IR1";"AllPub";"Gtl";"1Story";7;1972;1972;"TA";864;"GasA";"Ex";"Y";"TA";0;NA;1;288;"TA";0;NA;6;2006;128500
"1341";"8294 m2";"Reg";"AllPub";"Gtl";"1Story";5;1971;1971;"TA";858;"GasA";"TA";"Y";"TA";0;NA;4;480;"TA";0;NA;6;2007;123000
"1342";"13695 m2";"Reg";"AllPub";"Gtl";"1Story";5;2003;2004;"TA";1114;"GasA";"Ex";"Y";"Gd";0;NA;2;576;"TA";0;NA;7;2008;155000
"1343";"9375 m2";"Reg";"AllPub";"Gtl";"2Story";5;2002;2002;"TA";1284;"GasA";"Ex";"Y";"Gd";1;"Gd";2;647;"TA";0;NA;8;2007;228500
"1344";"7558 m2";"Reg";"AllPub";"Gtl";"1.5Fin";6;1928;1950;"TA";896;"GasA";"Gd";"Y";"TA";1;"TA";2;342;"Fa";0;NA;3;2009;177000
"1345";"11103 m2";"IR1";"AllPub";"Gtl";"2Story";5;2006;2006;"TA";728;"GasA";"Ex";"Y";"Gd";1;"TA";2;440;"TA";0;NA;7;2007;155835
"1346";"6000 m2";"Reg";"AllPub";"Gtl";"1Story";4;1920;1950;"TA";960;"GasA";"Gd";"Y";"Fa";0;NA;1;308;"TA";0;NA;7;2007;108500
"1347";"20781 m2";"IR2";"AllPub";"Gtl";"1Story";7;1968;2003;"TA";1568;"GasA";"TA";"Y";"TA";1;"Gd";2;508;"TA";0;NA;6;2006;262500
"1348";"15306 m2";"IR1";"AllPub";"Gtl";"1Story";5;2006;2007;"TA";1732;"GasA";"Ex";"Y";"Gd";1;"Gd";3;712;"TA";0;NA;5;2007;283463
"1349";"16196 m2";"IR3";"AllPub";"Gtl";"1Story";5;1998;1998;"TA";1482;"GasA";"Ex";"Y";"Gd";1;"Fa";2;514;"TA";0;NA;8;2007;215000
"1350";"5250 m2";"Reg";"AllPub";"Gtl";"2Story";5;1872;1987;"Fa";684;"OthW";"Fa";"N";"TA";0;NA;0;0;NA;0;NA;12;2008;122000
"1351";"11643 m2";"Reg";"AllPub";"Gtl";"2Story";5;1969;1969;"TA";1248;"GasA";"TA";"Y";"TA";0;NA;4;968;"TA";0;NA;8;2009;200000
"1352";"9247 m2";"IR1";"AllPub";"Gtl";"2Story";6;1962;1962;"TA";858;"GasA";"Ex";"Y";"TA";1;"Gd";2;490;"TA";0;NA;3;2008;171000
"1353";"6000 m2";"Reg";"AllPub";"Gtl";"1.5Fin";9;1937;2000;"TA";698;"GasA";"TA";"Y";"TA";0;NA;2;624;"TA";0;NA;7;2009;134900
"1354";"14720 m2";"IR1";"AllPub";"Gtl";"1.5Fin";5;1995;1996;"TA";2033;"GasA";"Ex";"Y";"Gd";1;"Ex";3;666;"TA";0;NA;3;2010;410000
"1355";"10316 m2";"IR1";"AllPub";"Gtl";"2Story";5;2000;2000;"TA";992;"GasA";"Ex";"Y";"Gd";1;"TA";3;839;"TA";0;NA;6;2008;235000
"1356";"10192 m2";"IR1";"AllPub";"Gtl";"SLvl";6;1968;1992;"TA";570;"GasA";"Gd";"Y";"Gd";1;"TA";2;487;"TA";0;NA;9;2006;170000
"1357";"9477 m2";"Reg";"AllPub";"Gtl";"1Story";5;1966;1966;"TA";864;"GasA";"TA";"Y";"TA";0;NA;1;264;"TA";0;NA;10;2008;110000
"1358";"12537 m2";"IR1";"AllPub";"Gtl";"1Story";6;1971;2008;"TA";1078;"GasA";"Ex";"Y";"TA";1;"Fa";2;500;"TA";0;NA;4;2010;149900
"1359";"2117 m2";"Reg";"AllPub";"Gtl";"2Story";5;2000;2000;"TA";756;"GasA";"Ex";"Y";"Gd";0;NA;2;440;"TA";0;NA;6;2010;177500
"1360";"16737 m2";"Reg";"AllPub";"Gtl";"1Story";5;2004;2005;"TA";1980;"GasA";"Ex";"Y";"Ex";1;"Gd";3;770;"TA";0;NA;9;2006;315000
"1361";"9842 m2";"Reg";"AllPub";"Gtl";"2Story";6;1921;1998;"Fa";612;"GasA";"Ex";"Y";"TA";0;NA;2;621;"TA";0;NA;5;2008;189000
"1362";"16158 m2";"IR1";"AllPub";"Mod";"1Story";5;2005;2005;"TA";1530;"GasA";"Ex";"Y";"Gd";1;"Gd";2;430;"TA";0;NA;6;2009;260000
"1363";"12513 m2";"IR1";"AllPub";"Gtl";"1.5Fin";4;1920;2007;"Fa";715;"GasA";"Gd";"Y";"TA";1;"Gd";1;368;"TA";0;NA;6;2009;104900
"1364";"8499 m2";"IR1";"AllPub";"Gtl";"2Story";5;2006;2007;"TA";616;"GasA";"Ex";"Y";"Gd";1;"Gd";2;432;"TA";0;NA;3;2007;156932
"1365";"3180 m2";"Reg";"AllPub";"Gtl";"2Story";5;2005;2005;"TA";600;"GasA";"Ex";"Y";"Gd";0;NA;2;480;"TA";0;NA;4;2006;144152
"1366";"7500 m2";"Reg";"AllPub";"Gtl";"2Story";5;2000;2000;"TA";814;"GasA";"Ex";"Y";"Gd";0;NA;2;663;"TA";0;NA;1;2010;216000
"1367";"9179 m2";"IR1";"AllPub";"Gtl";"2Story";5;1999;1999;"TA";873;"GasA";"Ex";"Y";"Gd";0;NA;2;588;"TA";0;NA;6;2008;193000
"1368";"2665 m2";"Reg";"AllPub";"Gtl";"2Story";6;1977;1977;"TA";757;"GasA";"Ex";"Y";"TA";1;"TA";1;336;"TA";0;NA;7;2006;127000
"1369";"4435 m2";"Reg";"AllPub";"Gtl";"1Story";5;2003;2004;"TA";848;"GasA";"Ex";"Y";"Gd";0;NA;2;420;"TA";0;NA;6;2009;144000
"1370";"10635 m2";"IR2";"AllPub";"Gtl";"1Story";5;2003;2003;"TA";1657;"GasA";"Ex";"Y";"Gd";1;"TA";2;502;"TA";0;NA;5;2010;232000
"1371";"5400 m2";"Reg";"AllPub";"Gtl";"1.5Fin";6;1920;1950;"TA";840;"GasA";"Ex";"Y";"TA";0;NA;1;338;"TA";0;NA;10;2009;105000
"1372";"9600 m2";"Reg";"AllPub";"Gtl";"SLvl";6;1955;1996;"TA";992;"GasA";"Gd";"Y";"Gd";1;"TA";1;377;"TA";0;NA;10;2008;165500
"1373";"9750 m2";"Reg";"AllPub";"Gtl";"2Story";6;1998;1998;"TA";1108;"GasA";"Ex";"Y";"Gd";1;"TA";2;583;"TA";0;NA;6;2006;274300
"1374";"11400 m2";"Reg";"AllPub";"Gtl";"1Story";5;2001;2002;"TA";2633;"GasA";"Ex";"Y";"Ex";2;"Gd";3;804;"TA";0;NA;3;2007;466500
"1375";"10625 m2";"Reg";"AllPub";"Gtl";"2Story";5;2005;2005;"TA";1026;"GasA";"Ex";"Y";"Gd";1;"Gd";3;936;"TA";0;NA;7;2008;250000
"1376";"10991 m2";"IR1";"AllPub";"Gtl";"1Story";5;2007;2007;"TA";1571;"GasA";"Ex";"Y";"Gd";1;"Gd";3;722;"TA";0;NA;12;2007;239000
"1377";"6292 m2";"Reg";"AllPub";"Gtl";"1Story";5;1930;1950;"TA";768;"GasA";"TA";"N";"TA";0;NA;1;160;"TA";0;NA;4;2008;91000
"1378";"10998 m2";"Reg";"AllPub";"Gtl";"1.5Fin";5;1941;1960;"TA";984;"GasA";"Ex";"Y";"TA";0;NA;2;660;"TA";0;NA;7;2009;117000
"1379";"1953 m2";"Reg";"AllPub";"Gtl";"2Story";5;1973;1973;"Fa";483;"GasA";"TA";"Y";"TA";0;NA;1;264;"TA";0;NA;6;2006;83000
"1380";"9735 m2";"Reg";"AllPub";"Gtl";"SLvl";5;2006;2007;"TA";384;"GasA";"Gd";"Y";"Gd";0;NA;2;400;"TA";0;NA;5;2008;167500
"1381";"8212 m2";"Reg";"AllPub";"Gtl";"1Story";3;1914;1950;"Fa";864;"GasA";"TA";"N";"TA";0;NA;1;200;"Fa";0;NA;6;2010;58500
"1382";"12925 m2";"IR1";"AllPub";"Gtl";"1Story";7;1970;1970;"TA";1205;"GasA";"Ex";"Y";"TA";2;"Gd";2;550;"TA";0;NA;5;2008;237500
"1383";"7200 m2";"Reg";"AllPub";"Gtl";"2Story";7;1920;1950;"TA";596;"GasA";"Ex";"Y";"Gd";0;NA;2;576;"TA";0;NA;10;2006;157000
"1384";"25339 m2";"Reg";"AllPub";"Gtl";"1Story";7;1918;2007;"TA";816;"GasA";"Ex";"Y";"Gd";0;NA;2;576;"TA";0;NA;8;2007;112000
"1385";"9060 m2";"Reg";"AllPub";"Gtl";"1.5Fin";5;1939;1950;"TA";560;"GasA";"TA";"Y";"TA";0;NA;1;280;"TA";0;NA;10;2009;105000
"1386";"5436 m2";"Reg";"AllPub";"Gtl";"1.5Fin";8;1922;2007;"TA";796;"GasA";"Gd";"Y";"Gd";0;NA;1;240;"TA";0;NA;5;2010;125500
"1387";"16692 m2";"IR1";"AllPub";"Gtl";"2Story";5;1978;1978;"TA";1392;"GasA";"TA";"Y";"Gd";2;"TA";2;564;"TA";519;"Fa";7;2006;250000
"1388";"8520 m2";"Reg";"AllPub";"Gtl";"1.5Fin";7;1916;1950;"TA";714;"GasW";"TA";"N";"Gd";1;"Gd";1;216;"TA";0;NA;8;2007;136000
"1389";"14892 m2";"IR1";"AllPub";"Gtl";"1Story";5;2006;2007;"TA";1746;"GasA";"Ex";"Y";"Ex";2;"Gd";3;758;"TA";0;NA;10;2009;377500
"1390";"6000 m2";"Reg";"AllPub";"Gtl";"1.5Fin";6;1941;1950;"Gd";735;"GasA";"Ex";"Y";"TA";1;"Gd";2;440;"TA";0;NA;3;2007;131000
"1391";"9100 m2";"Reg";"AllPub";"Gtl";"1Story";5;2000;2000;"TA";1525;"GasA";"Ex";"Y";"Gd";0;NA;2;541;"TA";0;NA;9;2006;235000
"1392";"8944 m2";"Reg";"AllPub";"Gtl";"1Story";5;1967;1967;"TA";1584;"GasA";"TA";"Y";"TA";0;NA;3;792;"TA";0;NA;4;2009;124000
"1393";"7838 m2";"Reg";"AllPub";"Gtl";"SFoyer";5;1967;1967;"TA";864;"GasA";"TA";"Y";"TA";1;"Po";1;288;"TA";0;NA;12;2006;123000
"1394";"10800 m2";"Reg";"AllPub";"Gtl";"1.5Fin";7;1905;2000;"TA";482;"GasA";"Ex";"N";"TA";1;"TA";2;672;"TA";0;NA;4;2008;163000
"1395";"4045 m2";"Reg";"AllPub";"Gtl";"1Story";5;2006;2006;"TA";1356;"GasA";"Ex";"Y";"Gd";1;"Gd";3;648;"TA";0;NA;10;2006;246578
"1396";"12665 m2";"IR1";"AllPub";"Gtl";"2Story";5;2005;2006;"Gd";1094;"GasA";"Ex";"Y";"Gd";1;"Gd";3;642;"TA";0;NA;2;2007;281213
"1397";"57200 m2";"IR1";"AllPub";"Sev";"1Story";5;1948;1950;"TA";747;"GasA";"TA";"Y";"TA";2;"TA";2;572;"TA";0;NA;6;2010;160000
"1398";"6120 m2";"Reg";"AllPub";"Gtl";"2Story";8;1920;2004;"TA";939;"GasA";"Ex";"Y";"TA";0;NA;1;180;"Fa";0;NA;5;2007;137500
"1399";"7200 m2";"Reg";"AllPub";"Gtl";"1.5Fin";4;1950;1982;"TA";1208;"GasA";"Gd";"Y";"TA";0;NA;1;240;"TA";0;NA;5;2009;138000
"1400";"6171 m2";"Reg";"AllPub";"Gtl";"1.5Fin";6;1925;1990;"TA";976;"GasA";"Ex";"Y";"Gd";1;"Gd";1;216;"TA";0;NA;10;2009;137450
"1401";"6000 m2";"Reg";"AllPub";"Gtl";"1.5Fin";7;1929;1950;"TA";862;"GasA";"TA";"Y";"TA";1;"Gd";1;208;"TA";0;NA;7;2008;120000
"1402";"7415 m2";"IR1";"AllPub";"Gtl";"2Story";5;2004;2004;"TA";839;"GasA";"Ex";"Y";"TA";1;"TA";2;398;"TA";0;NA;4;2008;193000
"1403";"6762 m2";"Reg";"AllPub";"Gtl";"1Story";5;2006;2006;"Gd";1286;"GasA";"Ex";"Y";"Gd";1;"Gd";2;662;"TA";0;NA;7;2006;193879
"1404";"15256 m2";"IR1";"AllPub";"Gtl";"1Story";5;2007;2007;"TA";1485;"GasA";"Ex";"Y";"Gd";0;NA;3;754;"TA";0;NA;8;2007;282922
"1405";"10410 m2";"Reg";"AllPub";"Gtl";"1.5Fin";4;1915;1950;"TA";672;"GasA";"TA";"Y";"TA";0;NA;3;936;"TA";0;NA;1;2006;105000
"1406";"3842 m2";"IR1";"AllPub";"Mod";"1Story";5;2004;2005;"TA";1594;"GasA";"Ex";"Y";"Gd";1;"Gd";2;482;"TA";0;NA;1;2008;275000
"1407";"8445 m2";"Reg";"AllPub";"Gtl";"SFoyer";7;1972;2007;"TA";768;"GasA";"TA";"Y";"TA";0;NA;2;396;"TA";0;NA;3;2009;133000
"1408";"8780 m2";"IR1";"AllPub";"Gtl";"1Story";5;1985;1985;"TA";833;"GasA";"Ex";"Y";"TA";0;NA;0;0;NA;0;NA;3;2009;112000
"1409";"7740 m2";"Reg";"AllPub";"Gtl";"2Story";7;1910;1950;"TA";622;"GasA";"Gd";"Y";"TA";0;NA;2;528;"TA";0;NA;6;2010;125500
"1410";"20544 m2";"IR1";"AllPub";"Gtl";"2Story";6;1986;1991;"TA";791;"GasA";"Gd";"Y";"TA";1;"TA";2;542;"TA";0;NA;11;2008;215000
"1411";"12420 m2";"Reg";"AllPub";"Gtl";"2Story";5;2001;2001;"TA";944;"GasA";"Ex";"Y";"Gd";0;NA;2;622;"TA";0;NA;6;2009;230000
"1412";"9600 m2";"Reg";"AllPub";"Gtl";"1.5Fin";8;1950;2005;"TA";856;"GasA";"Ex";"Y";"TA";0;NA;1;271;"TA";0;NA;9;2009;140000
"1413";"7200 m2";"Reg";"AllPub";"Gtl";"1Story";5;1949;1950;NA;0;"Wall";"Fa";"N";"TA";0;NA;2;420;"TA";0;NA;6;2009;90000
"1414";"10994 m2";"IR1";"AllPub";"Gtl";"1Story";5;2005;2006;"Gd";1844;"GasA";"Ex";"Y";"Gd";1;"Gd";2;620;"TA";0;NA;9;2009;257000
"1415";"13053 m2";"Reg";"AllPub";"Gtl";"1.5Fin";7;1923;2000;"TA";833;"GasA";"Gd";"Y";"Gd";1;"Gd";2;370;"TA";0;NA;6;2008;207000
"1416";"3635 m2";"Reg";"AllPub";"Gtl";"1Story";5;2007;2007;"TA";1386;"GasA";"Ex";"Y";"Gd";1;"TA";3;660;"TA";0;NA;5;2009;175900
"1417";"11340 m2";"Reg";"AllPub";"Gtl";"2Story";6;1885;1950;"TA";777;"GasA";"Gd";"Y";"TA";0;NA;2;560;"TA";0;NA;4;2010;122500
"1418";"16545 m2";"IR1";"AllPub";"Gtl";"2Story";5;1998;1998;"TA";1284;"GasA";"Ex";"Y";"Gd";1;"TA";3;1069;"TA";0;NA;5;2009;340000
